epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,4667.28,0.96813,0.59464,0.86707,0.92416,0.93233,0.92252,0.63319,1.04592,0.66541,0.89242,0.00076757,0.00076757,0.00076757
111,4714.34,0.94738,0.58402,0.86335,0.91847,0.92807,0.91791,0.62579,1.06388,0.67806,0.89469,0.000759318,0.000759318,0.000759318
112,4759.53,0.95332,0.59645,0.86388,0.91845,0.9274,0.92634,0.63352,1.06881,0.65323,0.89694,0.000751067,0.000751067,0.000751067
113,4805.38,0.95138,0.5896,0.86753,0.92208,0.93093,0.92166,0.62868,1.04756,0.66073,0.89443,0.000742815,0.000742815,0.000742815
114,4851.53,0.94321,0.59823,0.8693,0.92748,0.93092,0.92368,0.63818,1.04094,0.65525,0.89024,0.000734564,0.000734564,0.000734564
115,4891.24,0.95517,0.58638,0.86692,0.92449,0.92448,0.92509,0.63992,1.05275,0.65863,0.89143,0.000726312,0.000726312,0.000726312
116,4946.97,0.93932,0.58393,0.86586,0.92423,0.92956,0.92723,0.63412,1.05547,0.65527,0.89197,0.00071806,0.00071806,0.00071806
117,4984.9,0.94182,0.58262,0.86459,0.92024,0.928,0.93091,0.63783,1.04072,0.64754,0.89092,0.000709809,0.000709809,0.000709809
118,5030.52,0.95634,0.58349,0.8643,0.92586,0.93399,0.93105,0.63286,1.05065,0.65318,0.89104,0.000701557,0.000701557,0.000701557
119,5079.63,0.95159,0.58841,0.86275,0.91774,0.93146,0.92343,0.63493,1.05484,0.65041,0.89262,0.000693305,0.000693305,0.000693305
120,5122.81,0.94555,0.58275,0.86565,0.9195,0.92958,0.92455,0.63045,1.05029,0.66573,0.89193,0.000685054,0.000685054,0.000685054
121,5167.15,0.93759,0.59228,0.86538,0.9246,0.93559,0.92839,0.64084,1.04275,0.65672,0.8908,0.000676802,0.000676802,0.000676802
